ID,Name,Category,Description,OpeningTime,Website,PhoneNumber,Location,Address,Toilet,Accessibility,Animals,Image,Icon,VisitTime,Map Priority
1,Poetto,Beaches,"Vibrant beach area popular for swimming & sunbathing, plus nearby restaurants, dance clubs & bars.","{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,-,"39.218529438890016, 9.177302395841759",Spiaggia del Poetto,TRUE,FALSE,TRUE,Poetto.jpg,beach.png,180,3
2,Bastion Saint Remy,Historical Sites and Monuments,"Landmark structure with a limestone arch & pillars, plus a terrace & promenade for cultural events.","{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,390706771,"39.21618569430492, 9.11697587806603","Piazza Costituzione, 09121 Cagliari CA",FALSE,FALSE,TRUE,Bastion Saint Remy.jpg,bastion.png,30,3
3,Museo archeologico nazionale,Museums and Art Galleries,"Museum exploring Sardinia's ancient history via archaeological exhibits, including Punic jewelry.","{'Monday': '8:45AM-7:45PM', 'Tuesday': 'Closed', 'Wednesday': '8:45AM-7:45PM', 'Thursday': '8:45AM-7:45PM', 'Friday': '8:45AM-7:45PM', 'Saturday': '8:45AM-7:45PM', 'Sunday': '8:45AM-7:45PM'}",https://museoarcheocagliari.beniculturali.it/,39070655911,"39.31508580804618, 9.151942649786545","Piazza Arsenale, 1, 09124 Cagliari CA",TRUE,TRUE,FALSE,Museo archeologico nazionale.jpg,museum_0.png,90,3
4,Santuario di Nostra Signora di Bonaria,Churches and Places of Worship,"Part of a 14th-century complex, this sanctuary holds a revered, storied statue of the Virgin Mary.","{'Monday': '7-11:30AM 4:30-7PM', 'Tuesday': '7-11:30AM 4:30-7PM', 'Wednesday': '7-11:30AM 4:30-7PM', 'Thursday': '7-11:30AM 4:30-7PM', 'Friday': '7-11:30AM 4:30-7PM', 'Saturday': '7AM-12PM 4:30-8PM', 'Sunday': '7:30AM-12:30PM 4:30-8PM'}",http://www.bonaria.eu/,39070301747,"39.2086821313617, 9.127150238295808","Piazza Bonaria, 2, 09125 Cagliari CA",FALSE,TRUE,FALSE,Santuario di Nostra Signora di Bonaria.jpg,cathedral.png,60,3
5,Parco di Monte Urpinu,Parks and Gardens,"Large public park on hilltop, with tree-lined avenues & kids' playground, plus panoramic views.","{'Monday': '6:30AM-10PM', 'Tuesday': '6:30AM-10PM', 'Wednesday': '6:30AM-10PM', 'Thursday': '6:30AM-10PM', 'Friday': '6:30AM-10PM', 'Saturday': '6:30AM-10PM', 'Sunday': '6:30AM-10PM'}",https://www.comune.cagliari.it/portale/page/it/parco_di_monte_urpinu?contentId=LGO12343,390706771,"39.21675668639543, 9.13597276954877","Viale Europa, 09129 Cagliari CA",TRUE,TRUE,TRUE,Parco di Monte Urpinu.jpg,park.png,60,3
6,Parco Naturale Molentargius Saline,Parks and Gardens,"Ample urban wetland with fresh & saltwater ponds, diverse bird species, paths & bike rentals.","{'Monday': '9AM-8PM', 'Tuesday': '9AM-8PM', 'Wednesday': '9AM-8PM', 'Thursday': '9AM-8PM', 'Friday': '9AM-8PM', 'Saturday': '9AM-8:30PM', 'Sunday': '9AM-8:30PM'}",http://parcomolentargius.it/,39070379191,"39.20590662691224, 9.14770819283453","Via la Palma, 9a, 09126 Cagliari CA",TRUE,TRUE,TRUE,Parco Naturale Molentargius Saline.jpg,pond.png,60,3
7,Sella del diavolo,Scenic Spots,"Saddle-shaped promontory offering scenic hilltop views of the sea, with trails to the summit.","{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,-,"39.188744973196684, 9.168021013857214","Viale Calamosca, 50, 09126 Cagliari CA",FALSE,FALSE,FALSE,Sella del diavolo.jpg,panorama.png,180,3
8,Orto Botanico di Cagliari,Parks and Gardens,"Historic garden featuring trees & plants including tropical, succulent & Mediterranean varieties.","{'Monday': 'Closed', 'Tuesday': '9AM-4PM', 'Wednesday': '9AM-4PM', 'Thursday': '9AM-4PM', 'Friday': '9AM-4PM', 'Saturday': '9AM-4PM', 'Sunday': '9AM-4PM'}",https://www.facebook.com/ortobotanicocagliari/,3.90707E+11,"39.25056129575268, 9.113535116640923","Via Sant'Ignazio da Laconi, 11, 09123 Cagliari CA",TRUE,TRUE,FALSE,Orto Botanico di Cagliari.jpg,park.png,90,3
9,Chiesa di San Michele,Churches and Places of Worship,"Church of Saint Michele St. Michele's church was built over St. Michele's and St. Egidio's oratory, at the end of 17th century, as headquarters of the Jesuit order. It is located next to the ancient ""House of the Novitiate"", where today there is the Military Hospital, and both share the same entrance.","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",https://sanmichelecagliari-gesuiti.it/,39070658626,"39.22211916150161, 9.116275325098108","Via Ospedale, 2, 09123 Cagliari CA",FALSE,TRUE,FALSE,Chiesa di San Michele.jpg,church_0.png,30,2
10,Torre dell'Elefante,Historical Sites and Monuments,"Imposing, 14th-century limestone tower adorned with a sculpted elephant, offering views of the city.","{'Monday': '10AM-1PM 3-7PM', 'Tuesday': '10AM-1PM 3-7PM', 'Wednesday': '10AM-1PM 3-7PM', 'Thursday': '10AM-1PM 3-7PM', 'Friday': '10AM-1PM 3-7PM', 'Saturday': '10AM-1PM 3-7PM', 'Sunday': '10AM-1PM 3-7PM'}",https://cagliariturismo.comune.cagliari.it/,3.90707E+11,"39.218512370908826, 9.116973530350217","Scalette Santa Croce, 2, 09124 Cagliari CA",FALSE,FALSE,FALSE,Torre dell'Elefante.jpg,tower.png,60,3
